Теги,Название окна,Пояснение,Текст Рус ,Текст Eng ,Рус символы
client.interface.mapscreen.special_offer_invite.condition,Мапскрин Канвас (Окно бонусного приглашения друзей),Надпись под заголовком объясняющая условия,Получите за приглашение,,23
client.interface.mapscreen.special_offer_invite.friend_name,Мапскрин Канвас (Окно бонусного приглашения друзей),Имя игрока под аватаркой,%name,,5
client.interface.mapscreen.special_offer_invite.buttons.invite,Мапскрин Канвас (Окно бонусного приглашения друзей),Надпись на кнопке приглашения друзей,Пригласите сейчас!,,18
level_types.moves_limit.ribbon_desc,Лента на старте игрового уровня,Лента с кратким описанием задачи которую должен выполнить игрок,Наберите необходимое количество очков,,37
level_types.time_limit.ribbon_desc,Лента на старте игрового уровня,Лента с кратким описанием задачи которую должен выполнить игрок,Выполните цель за отведённое время,,34
level_types.get_colors.ribbon_desc,Лента на старте игрового уровня,Лента с кратким описанием задачи которую должен выполнить игрок,Соберите нужное количество фишек,,32
level_types.clearbacks.ribbon_desc,Лента на старте игрового уровня,Лента с кратким описанием задачи которую должен выполнить игрок,Соберите всех шоколадных зайчиков,,33
level_types.boss_level.ribbon_desc,Лента на старте игрового уровня,Лента с кратким описанием задачи которую должен выполнить игрок,Победите повара из Корпорации,,29
level_types.toys.ribbon_desc,Лента на старте игрового уровня,Лента с кратким описанием задачи которую должен выполнить игрок,Освободите все игрушки,,22
level_types.bonus_level.ribbon_desc,Лента на старте игрового уровня,Лента с кратким описанием задачи которую должен выполнить игрок,Копайте как можно глубже,,24
level_types.get_ingredients.ribbon_desc,Лента на старте игрового уровня,Лента с кратким описанием задачи которую должен выполнить игрок,Отправьте все ингредиенты за пределы игрового поля,,50
client.interface.lose_level_ribbon.title.time,Лента при проигрыше игрового уровня,Заголовок окна в зависимости от типа уровня,Время закончилось!,,18
client.interface.lose_level_ribbon.title.moves,Лента при проигрыше игрового уровня,Заголовок окна в зависимости от типа уровня,Ходы закончились!,,17
client.interface.lose_level_ribbon.special_offer,Лента при проигрыше игрового уровня,Надпись на этикетке прилепленной к акционному предложению бустеров,Специальное предложение,Special offer,23
client.interface.lose_level_ribbon.buttons.use,Лента при проигрыше игрового уровня,Надпись на кнопке если у игрока есть в наличие бустер позволяющий продолжить играть,Использовать,Use,12
client.interface.lose_level_ribbon.text,Лента при проигрыше игрового уровня,В том окне где показываются зафейленные цели уровня,Вы не получили ни одной звезды,,30
client.interface.exit_level_ribbon.text,Окно при выходе из игрового уровня через меню,Основная фраза в окне,"Вы уверены, что хотите покинуть уровень?",,40
client.interface.exit_level_ribbon.buttons.exit,Окно при выходе из игрового уровня через меню,Кнопка выхода,Сдаться,Lose,7
client.interface.exit_level_ribbon.buttons.stay,Окно при выходе из игрового уровня через меню,Кнопка возвращения к игре,Остаться,Stay,8
client.interface.win_level_ribbon.win,Лента при выигрыше игрового уровня,Надпись в окне,Вы победили!,,12
client.interface.bank.title.gold_donuts,Окно банка,Название категории в банке,Пончики,Donuts,7
client.interface.bank.special_offer,Окно банка,На медальке специального предложения,Специальное предложение,Special offer,23
client.interface.bank.best_seller,Окно банка,На звёздочке хита продаж,Хит продаж,Best seller,10
client.interface.bank.great_value,Окно банка,На звёздочке лучшей цены,Лучшая цена,Great value,11
client.interface.bank.free,Окно банка,Приписка если в лоте есть бесплатный подарок  ,Бесплатно,Free,9
boosters.pastry_tongs.name,Окно покупки бустов,Заголовок окна бустера 1,Щипцы,,5
boosters.change_cakes_places.name,Окно покупки бустов,Заголовок окна бустера 2,Обмен,,5
boosters.extra_time.name,Окно покупки бустов,Заголовок окна бустера 3,Таймер,,6
boosters.cafetiere.name,Окно покупки бустов,Заголовок окна бустера 4,Горячий кофе,,12
boosters.reverse_move.name,Окно покупки бустов,Заголовок окна бустера 5,Отмена хода,,11
boosters.boss_protection.name,Окно покупки бустов,Заголовок окна бустера 6,Блок,,4
boosters.confectionery_blade.name,Окно покупки бустов,Заголовок окна бустера 7,Лопатка,,7
boosters.extra_moves.name,Окно покупки бустов,Заголовок окна бустера 8,Плюс 5 ходов,,12
boosters.rainbow_cake.name,Окно покупки бустов,Заголовок окна бустера 9,Радужный кекс,,13
boosters.pastry_bag.name,Окно покупки бустов,Заголовок окна бустера 10,Сладкий крем,,12
boosters.striped_cake_on_plate.name,Окно покупки бустов,Заголовок окна бустера 11,Два в одном,,11
boosters.pastry_tongs.desc,Окно покупки бустов,Описание функционала бустера щипцы,"Уничтожает любую фишку на поле, разрушает все блокирующие элементы.",,67
boosters.change_cakes_places.desc,Окно покупки бустов,Описание функционала бустера обмен,"Меняет местами фишки, которые стоят рядом. Нажмите на фишки, которые нужно поменять местами. Обмен позволит составить комбинации, которые обычно составить просто невозможно!",,173
boosters.extra_time.desc,Окно покупки бустов,Описание функционала бустера таймер,"Добавляет 15 секунд времени. Можно использовать только на тех уровнях, где время имеет значение!",,96
boosters.cafetiere.desc,Окно покупки бустов,Описание функционала бустера горячий кофе,"Уничтожает Вафли, Стеклянные колпаки, Желе и Мед на игровом поле.",,65
boosters.reverse_move.desc,Окно покупки бустов,Описание функционала бустера отмена хода,Отменяет действие последнего хода. ,,35
boosters.boss_protection.desc,Окно покупки бустов,Описание функционала бустера блок,Действия повара из Корпорации блокируются на 3 действия.,,56
boosters.confectionery_blade.desc,Окно покупки бустов,Описание функционала бустера Лопатка,"Вызывает 3 Кондитерские лопатки, которые уничтожают 3 фишки!",,60
boosters.extra_moves.desc,Окно покупки бустов,Описание функционала бустера плюс 5 ходов,Добавляет 5 ходов.,,18
boosters.rainbow_cake.desc,Окно покупки бустов,Описание функционала бустера радужный кекс,"Размещает на поле Радужный кекс в случайном месте. Совместите Радужный кекс с любой фишкой, и он уничтожит все фишки её цвета!",,126
boosters.pastry_bag.desc,Окно покупки бустов,Описание функционала бустера сладкий крем,Для активации Кондитерского мешка совместите его с любой фишкой. Он сделает 3 фишки на пути следования полосатыми и затем активирует их!,,136
boosters.striped_cake_on_plate.desc,Окно покупки бустов,Описание функционала бустера два в одном,"Активируйте Два в одном - и Ваш уровень начнется с одним Полосатым тортиком и одной Сладкой бомбой, случайно расположенными на игровом поле.",,140
client.interface.booster_buy.special_offer,Окно покупки бустов,Надпись на этикетке прилепленной к акционному предложению бустеров,Специальное предложение,Special offer,23
client.interface.booster_buy.discount,Окно покупки бустов,Надпись на этикетке прилепленной к акционному предложению бустеров,Скидка %num %,%num % OFF,13
client.interface.booster_buy.prepare_special_offer,Окно покупки бустов,Плашка появляющаяся при показе скидки на покупку бустера,Готовится специальное предложение,,33
client.interface.ask_lives.title,Окно получения/ запроса жизней,Заголовок окна с вариантами получения жизней,Закончились жизни,Get more lives,17
client.interface.ask_lives.buy_offer,Окно получения/ запроса жизней,Текст предложения покупки жизней за донат,Купите %num прямо сейчас,,24
client.interface.ask_lives.middle_text,Окно получения/ запроса жизней,Фраза между подокнами по покупке жизней за донат и просьбы у друзей по соц. сети,или,or,3
client.interface.ask_lives.ask_offer,Окно получения/ запроса жизней,Текст предложения попросить жизней у друзей по соц. сети,Попросите помощи у друзей,Ask friends,25
client.interface.ask_lives.buttons.ask,Окно получения/ запроса жизней,Текст на кнопке перехода к просьбе жизней у друзей по соц. сети,Попросить,Ask,9
client.interface.ask_lives.buttons.connect,Окно получения/ запроса жизней,Текст на кнопке перехода к просьбе жизней у друзей по соц. сети,Подключиться,Connect,12
client.interface.ask_lives.wait_offer,Окно получения/ запроса жизней,"Сообщение о том, когда востановиться одна жизнь",Вы получите %num_1 бесплатно через %num_2:%num_3,,48
client.interface.ask_lives.friend_list.title,Окно получения/ запроса жизней (Форма запроса),Заголовок окна появляющегося если выбираешь попросить жизни у друзей,Попросить жизни,Ask friends,15
client.interface.ask_lives.friend_list.checkbox_sent_all,Окно получения/ запроса жизней (Форма запроса),Надпись рядом с чекбоксом для выбора всех друзей в интерфейсе запроса жизней в соц. сети,Выбрать всех,Check all,12
client.interface.ask_lives.friend_list.buttons.sent,Окно получения/ запроса жизней (Форма запроса),Надпись на кнопке для отправки запроса друзьям жизней в соц. сети,Отправить,Send,9
client.interface.secret_level.title,Окно секретного уровня,Заголовок окна,Секретный Уровень!,Secret level,18
client.interface.secret_level.open.text,Окно секретного уровня,Текст предлагающий игроку открыть коробки,Откройте коробочки!,,19
client.interface.secret_level.open.amount,Окно секретного уровня,Количество открытых коробок,Открыто %num_1 из %num_2,,24
client.interface.secret_level.open.buttons.tip,Окно секретного уровня,Надпись на кнопке перехода к просмотру содержимого коробок,Подсмотреть,,11
client.interface.secret_level.open.buttons.play,Окно секретного уровня,Надпись на кнопке перехода к игре после того как все три коробки открыты,Играть,Play,6
client.interface.secret_level.tip.buttons.open,Окно секретного уровня,Надпись на кнопке перехода к выбору призовых коробок,Открыть,,7
client.interface.secret_level.tip.text,Окно секретного уровня,Текст предлагающий игроку запомнить содержимое коробок в режиме подглядывания,"Хорошо запомните, где что лежит!",,32
client.interface.bonus_level_start.title,Бонусный уровень. Старт.,Название уровня,Бонусный уровень,Bonus Level,16
client.interface.bonus_start_level.target,Бонусный уровень. Старт.,Заголовок над условием которые должен выполнить игрок для успешного прохождения уровня,Цель,Target,4
client.interface.bonus_start_level.buttons.sendlives,Бонусный уровень. Старт. (Канвас),Кнопка для отправки жизней всем кто в топе,Послать всем,,
client.interface.bonus_level_start.popups.info,Бонусный уровень. Старт.,"Описание игрового режима ""Бонусного уровня шахта""",Копайте вниз и получайте призы! Для этого необходимо уничтожать жидкий шоколад - просто совмещайте фишки рядом с ним!,,117
client.interface.bonus_level_start.target,Бонусный уровень. Старт.,Описание цели уровня,Копайте как можно глубже,Dig as much as you can!,24
client.interface.bonus_level_start.buttons.dig,Бонусный уровень. Старт.,Надпись на кнопке старта уровня,Копать,Dig it,6
client.interface.bonus_level.score,Окно бонусного уровня,Количество очков набранных игроком ,Очки,Level score,4
client.interface.bonus_level.target,Окно бонусного уровня канвас,Описание цели уровня,Копайте как можно глубже,,24
client.interface.bonus_level.popups.info,Окно бонусного уровня,"Описание игрового режима ""Шахта""",Копайте вниз и получайте призы! Для этого необходимо уничтожать жидкий шоколад - просто совмещайте фишки рядом с ним!,,117
client.interface.bonus_level.popups.time,Окно бонусного уровня (Канвас хинт),При наведении на общий таймер уровня,Оставшееся время,,16
client.interface.bonus_level.popups.time_line,Окно бонусного уровня (Канвас хинт),При наведении на линию дающую +30 секунд,Уберите весь шоколад над этой линией и получите +30 секунд,,58
client.interface.bonus_level_end.title,Бонусный уровень. Завершение.,Название уровня,Бонусный уровень,Bonus Level,16
client.interface.bonus_level_end.legend,Бонусный уровень. Завершение.,Надпись поздравляющая игрока при прохождении,Великолепно!,,12
client.interface.bonus_level_end.reward,Бонусный уровень. Завершение.,"Награда в серебряных монетах, золотых пончиках и бустерах за прохождение уровня",Награда:,,8
client.interface.bonus_level_end.scores,Бонусный уровень. Завершение.,Количество очков набранных игроком ,Очки:,,5
client.interface.bonus_level_end.buttons.next,Бонусный уровень. Завершение.,Кнопка для перехода к следующему уровню,Далее,,5
client.interface.bonus_level_end.share,Бонусный уровень. Завершение.,Надпись при выбранной опции для рассказа о своих достижениях,Рассказать и получить бонус,Share + Bonus,27
client.interface.bonus_level_end.no_share,Бонусный уровень. Завершение.,Надпись при не выбранной опции для рассказа о своих достижениях,Не рассказывать и не получить бонус,"No Share, No Bonus",35
client.interface.bonus_level_end.buttons.sendlives,Бонусный уровень. Завершение.  (Канвас),Кнопка для отправки жизней всем кто в топе,Послать всем,,
client.interface.inbox.title,Окно инбокса,Заголовок окна,Сообщения,Your messages,9
client.interface.inbox.checkbox_sent_all,Окно инбокса,Надпись рядом с чекбоксом для выбора всех друзей в интерфейсе запроса жизней в соц. сети,Выбрать всех,Check all,12
client.interface.inbox.message.title.friend,Окно инбокса,Заголовок у присланного сообщения,Друг прислал Вам подарок!,,25
client.interface.inbox.message.title.friend_request,Окно инбокса,Заголовок у присланного сообщения,Друг просит о помощи!,,21
client.interface.inbox.message.title.old_folk,Окно инбокса,Заголовок у присланного сообщения,От Бабули и Дедули,,18
client.interface.inbox.message.title.friend_start_play,Окно инбокса,Заголовок у присланного сообщения,Друг начал играть!,,
client.interface.inbox.buttons.accept,Окно инбокса,Надпись на кнопке перехода к игре после того как все три коробки открыты,Принять,Accept,7
messages.types.life.text,Окно инбокса,Текст сообщения с сутью вопроса,Примите подарок от друга - дополнительные жизни!,,48
messages.types.moves.text,Окно инбокса,Текст сообщения с сутью вопроса,Мы давно не видели Вас. Примите подарок - дополнительные ходы для уровня %num и возвращайтесь в кафе!,,101
messages.types.request_life.text,Окно инбокса,Текст сообщения с сутью вопроса,"Мне очень нужны дополнительные жизни. Пожалуйста, пришлите мне их!",,66
messages.types.request_fuel.text,Окно инбокса,Текст сообщения с сутью вопроса,"Мне очень нужно ЭкоТопливо. Пожалуйста, пришлите мне его!",,57
messages.types.friend_start_play.text,Окно инбокса,Текст сообщения с сутью вопроса,Приглашённый вами друг начал играть! Примите подарок в благодарность!,,69
client.interface.invite_friends.title,Окно приглашения друзей в игру,Заголовок окна,Пригласите своих друзей!,Invite your friends!,24
client.interface.invite_friends.text,Окно приглашения друзей в игру,Подзаголовок окна,За каждого друга в игре получите %num,Earn N for each new friend in game,37
client.interface.invite_friends.checkbox_sent_all,Окно приглашения друзей в игру,Надпись рядом с чекбоксом для выбора всех друзей,Выбрать всех и получите %num ,Check all and get %num,29
client.interface.invite_friends.buttons.invite,Окно приглашения друзей в игру,Надпись на кнопке отправки сообщений,Пригласить,Invite,10
client.interface.gasoline_station.title,Окно заправки,Заголовок окна,Заправочная станция,Bio Station,19
client.interface.gasoline_station.ask_friends.text.fbconnect,Окно заправки,Заголовок блока с просьбой топлива у друзей,Попросите три единицы ЭкоТоплива у друзей,,41
client.interface.gasoline_station.ask_friends.buttons.fbconnect,Окно заправки,Надпись на кнопке FB,Попросить,Ask,9
client.interface.gasoline_station.ask_friends.text.no_fbconnect,Окно заправки,Заголовок блока с просьбой топлива у друзей с отключённым FB,"Подключитесь к Facebook, чтобы попросить ЭкоТопливо у друзей",,60
client.interface.gasoline_station.ask_friends.buttons.no_fbconnect,Окно заправки,Надпись на кнопке FB,Подключится,Connect,11
client.interface.gasoline_station.buy_gasoline.text.all,Окно заправки,Заголовок блока с предложением купить топливо за донат,Приобретайте ЭкоТопливо прямо сейчас и продолжайте приключения,,62
client.interface.gasoline_station.buy_gasoline.text.take_2,Окно заправки,Заголовок блока с предложением купить топливо за донат,Приобрети 2 и получи 3 единицы ЭкоТоплива,,41
client.interface.gasoline_station.buy_gasoline.text.take_1,Окно заправки,Заголовок блока с предложением купить топливо за донат,Приобрети 1 и получи 2 единицы ЭкоТоплива,,41
client.interface.gasoline_station.free_gasoline.text,Окно заправки,Заголовок над счётчиком времени,Бесплатное ЭкоТопливо через:,Free Bio diesel in:,28
client.interface.gasoline_station.free_gasoline.timer.days,Окно заправки,Надпись над счётчиком времени,Дней:,Days:,5
client.interface.gasoline_station.free_gasoline.timer.hour,Окно заправки,Надпись над счётчиком времени,Часов:,Hours:,6
client.interface.gasoline_station.free_gasoline.timer.minutes,Окно заправки,Надпись над счётчиком времени,Минут:,Minutes:,6
client.interface.episode_complete.title,Окно поздравления с завершением эпизода,Текст над окном,Эпизод %num,,11
client.interface.episode_complete.text,Окно поздравления с завершением эпизода,На ленте под заголовком окна,Вы помогли жителям городка и решили проблему,You solved problem and helped people!,44
client.interface.episode_complete.buttons.next,Окно поздравления с завершением эпизода,Надпись на кнопке,Далее,Next,5
client.interface.episode_complete.share,Окно поздравления с завершением эпизода,Надпись при выбранной опции для рассказа о своих достижениях,Рассказать и получить бонус,Share + Bonus,27
client.interface.episode_complete.no_share,Окно поздравления с завершением эпизода,Надпись при не выбранной опции для рассказа о своих достижениях,Не рассказывать и не получить бонус,"No Share, No Bonus",35
client.interface.overtake_by_level.title,Окно обогона игрока по уровням,Заголовок окна,Уровень %num,Level NNN,12
client.interface.overtake_by_level.text,Окно обогона игрока по уровням,Надпись по инфографикой,Вы обогнали %name,You passed %name,17
client.interface.overtake_by_level.buttons.next,Окно обогона игрока по уровням,Надпись на кнопке,Далее,Next,5
client.interface.overtake_by_level.share,Окно обогона игрока по уровням,Надпись при выбранной опции для рассказа о своих достижениях,Рассказать и получить бонус,Share + Bonus,27
client.interface.overtake_by_level.no_share,Окно обогона игрока по уровням,Надпись при не выбранной опции для рассказа о своих достижениях,Не рассказывать и не получить бонус,"No Share, No Bonus",35
client.interface.first_place.title,Окно первого места игрока по очкам на уровне,Заголовок окна,Уровень %num,Level NNN,12
client.interface.first_place.text,Окно первого места игрока по очкам на уровне,На ленте под заголовком окна,Вы - лучший!,You number one,12
client.interface.first_place.text_under_avatar,Окно первого места игрока по очкам на уровне,Надпись по инфографикой,Вы обогнали всех друзей!,Your beat all Friends!,24
client.interface.first_place.buttons.next,Окно первого места игрока по очкам на уровне,Надпись на кнопке,Далее,Next,5
client.interface.first_place.buttons.sendlives,Окно первого места игрока по очкам на уровне (Канвас),Кнопка для отправки жизней всем кто в топе,Послать всем,,
client.interface.first_place.share,Окно первого места игрока по очкам на уровне,Надпись при выбранной опции для рассказа о своих достижениях,Рассказать и получить бонус,Share + Bonus,27
client.interface.first_place.no_share,Окно первого места игрока по очкам на уровне,Надпись при не выбранной опции для рассказа о своих достижениях,Не рассказывать и не получить бонус,"No Share, No Bonus",35
client.interface.overtake_by_score.title,Окно обогона игрока по очкам на уровне,Заголовок окна,Уровень %num,Level NNN,12
client.interface.overtake_by_score.text,Окно обогона игрока по очкам на уровне,На ленте под заголовком окна,Друзья побеждены!,Friend beaten!,17
client.interface.overtake_by_score.text_under_avatar_friendname,Окно обогона игрока по очкам на уровне,Надпись по инфографикой (основной),Вы победили %name ,"Your beat "" "" and N more friends",18
client.interface.overtake_by_score.text_under_avatar_friendnumber,Окно обогона игрока по очкам на уровне,Надпись по инфографикой (остальные),и еще %num друзей.,,
client.interface.overtake_by_score.buttons.next,Окно обогона игрока по очкам на уровне,Надпись на кнопке,Далее,Next,5
client.interface.overtake_by_score.buttons.sendlives,Окно обогона игрока по очкам на уровне (Канвас),Кнопка для отправки жизней всем кто в топе,Послать всем,,
client.interface.overtake_by_score.share,Окно обогона игрока по очкам на уровне,Надпись при выбранной опции для рассказа о своих достижениях,Рассказать и получить бонус,Share + Bonus,27
client.interface.overtake_by_score.no_share,Окно обогона игрока по очкам на уровне,Надпись при не выбранной опции для рассказа о своих достижениях,Не рассказывать и не получить бонус,"No Share, No Bonus",35
client.interface.send_to_friends.moves.title,Окно отправки доп ходов друзьям Канвас,Заголовок окна отправки ходов,Помогите друзьям - отправьте дополнительные ходы!,Help your friends by sending extra moves!,49
client.interface.send_to_friends.lives.title,Окно отправки жизней друзьям Канвас,Заголовок окна отправки жизней,Помогите друзьям - отправьте дополнительные жизни!,,50
client.interface.send_to_friends.title,Окно отправки доп ходов и жизней друзьям Мобила,Заголовок окна,Помогите друзьям!,,17
client.interface.send_to_friends.friend_box,Окно отправки доп ходов друзьям,Надпись на плашке с другом,%name нуждается в помощи. Помогите другу пройти уровень %num.,"Help "" "" pass the level NNN",61
client.interface.send_to_friends.buttons.send_moves,Окно отправки доп ходов друзьям,Надпись на кнопке отправки ходов,Отправить дополнительные ходы,Send extra moves,29
client.interface.send_to_friends.buttons.send_lives,Окно отправки жизней друзьям,Надпись на кнопке отправки жизней,Отправить дополнительные жизни,,
client.interface.bonus_level_open.title,Окно появления бонусного уровня,На ленте в заголовке окна,Потрясающе! Вы открыли бонусный уровень!,,40
client.interface.bonus_level_open.text,Окно появления бонусного уровня,Надпись под лентой в окне,Вы заработали 3 звезды за каждый уровень в этом эпизоде!,You earn 3 stars in every level on this episode!,56
client.interface.bonus_level_open.buttons.play_now,Окно появления бонусного уровня,Надпись на кнопке,Играть сейчас!,Play now,14
client.interface.bonus_level_open.share,Окно появления бонусного уровня,Надпись при выбранной опции для рассказа о своих достижениях,Рассказать и получить бонус,Share + Bonus,27
client.interface.bonus_level_open.no_share,Окно появления бонусного уровня,Надпись при не выбранной опции для рассказа о своих достижениях,Не рассказывать и не получить бонус,"No Share, No Bonus",35
client.interface.secret_level_open.title,Окно появления секретного уровня,На ленте в заголовке окна,Вы открыли секретный уровень!,,29
client.interface.secret_level_open.text,Окно появления секретного уровня,Надпись под лентой в окне,Вы воспроизвели уникальную комбинацию!,,38
secret_levels.1.desc,Окно появления секретного уровня Хинт,"Хинт при нажатии или наведении на ""i""","Пройдите 2 уровня подряд на 2 звезды, пока длится обучение. ",,60
secret_levels.2.desc,Окно появления секретного уровня Хинт,"Хинт при нажатии или наведении на ""i""",Пройдите 3 уровня на 2 звезды в Городе маффинов.,,48
secret_levels.3.desc,Окно появления секретного уровня Хинт,"Хинт при нажатии или наведении на ""i""","Пройдите 2 уровня, не потеряв ни одной жизни, в Деревне апельсиновых пирогов.",,77
secret_levels.4.desc,Окно появления секретного уровня Хинт,"Хинт при нажатии или наведении на ""i""",Пройдите 2 уровня подряд на 3 звезды в Зефирном городе.,,55
secret_levels.5.desc,Окно появления секретного уровня Хинт,"Хинт при нажатии или наведении на ""i""","Пройдите 3 уровня подряд, не потеряв ни одной жизни, в Деревне яблочных пирогов",,79
secret_levels.6.desc,Окно появления секретного уровня Хинт,"Хинт при нажатии или наведении на ""i""",Пройдите 3 уровня подряд на 3 звезды в Приморском городе.,,57
secret_levels.7.desc,Окно появления секретного уровня Хинт,"Хинт при нажатии или наведении на ""i""","Пройдите 3 уровня подряд, не потеряв ни одной жизни, на Молочной ферме.",,71
secret_levels.8.desc,Окно появления секретного уровня Хинт,"Хинт при нажатии или наведении на ""i""",Пройдите 4 уровня подряд на 3 звезды в Городе эклеров.,,54
secret_levels.9.desc,Окно появления секретного уровня Хинт,"Хинт при нажатии или наведении на ""i""","Пройдите 4 уровня подряд, не потеряв ни одной жизни, в Стране дня рождения.",,75
secret_levels.10.desc,Окно появления секретного уровня Хинт,"Хинт при нажатии или наведении на ""i""",Пройдите 5 уровней подряд на 3 звезды в Городе тирамису.,,56
secret_levels.11.desc,Окно появления секретного уровня Хинт,"Хинт при нажатии или наведении на ""i""","Пройдите 5 уровней подряд, не потеряв не одной жизни, в Городе корпорации.",,74
client.interface.secret_level_open.buttons.play_now,Окно появления секретного уровня,Надпись на кнопке,Играть сейчас!,Play now,14
client.interface.secret_level_open.share,Окно появления секретного уровня,Надпись при выбранной опции для рассказа о своих достижениях,Рассказать и получить бонус,Share + Bonus,27
client.interface.secret_level_open.no_share,Окно появления секретного уровня,Надпись при не выбранной опции для рассказа о своих достижениях,Не рассказывать и не получить бонус ,"No Share, No Bonus",36
client.interface.modal_window.buttons.next,Модальное окно,Надпись на кнопке,Далее,,5
client.interface.modal_window.buttons.yes,Модальное окно,Надпись на кнопке,Да,,2
client.interface.modal_window.buttons.no,Модальное окно,Надпись на кнопке,Нет,,3
client.interface.modal_window.buttons.update,Модальное окно,Надпись на кнопке,Обновить,,8
client.interface.modal_window.buttons.continue,Модальное окно,Надпись на кнопке,Продолжить,,10
client.interface.modal_window.not_enough_silver,Модальное окно,Не достаточно серебра,У Вас недостаточно серебра. Зарабатывайте больше звезд на разных уровнях и получайте серебро в награду.,,103
client.interface.modal_window.not_enough_gold,Модальное окно,Не достаточно золота,У Вас недостаточно золотых пончиков. Купить? ,,45
client.interface.modal_window.confirm_inner_purchase,Модальное окно,Подтверждение покупки за золото,"Вы действительно хотите купить товар "" %name "" за  %num ?",,57
client.interface.modal_window.restart_required,Модальное окно,"Проблема с игрой, требуется перезагрузка.",Что-то пошло не так. Давайте перезагрузим игру!,,47
client.interface.modal_window.connection_lost,Модальное окно,Потерялся интернет,"Потеряна связь с сервером. Вы не сможете совершать покупки, но Ваш прогресс сохранится.",,87
client.interface.modal_window.update_available,Модальное окно,Обновление игры.,Появилось отличное обновление для игры. Обновить?,,49
client.interface.modal_window.level_not_available,Модальное окно,Нет доступа к уровню (локации),Пройдите предыдущие уровни - тогда Вы получите доступ к этому.,,62
client.interface.modal_window.cafe_item_not_available,Модальное окно,Нет доступа к предмету в Кафе,Проходите уровни дальше по карте. Тогда у Вас появится %name.,,61
client.interface.modal_window.purchase_failed,Модальное окно,Неудачная попытка купить донат ,Что-то пошло не так при покупке. Попробуйте ещё раз.,,52
client.interface.modal_window.progress_server_higher,Модальное окно,Выбор записи при разном прогрессе ,Прогресс на Вашем устройстве выше сохраненного прогресса на сервере. Сохранить этот прогресс?,,93
client.interface.modal_window.progress_server_lower,Модальное окно,Выбор записи при разном прогрессе ,Прогресс на Вашем устройстве ниже сохраненного прогресса на сервере. Обновить прогресс с сервера?,,97
client.interface.modal_window.life_limit,Модальное окно,Игрок пытается принять сообщение о присланной жизни при 5ти своих жизнях,"Вы можете получить только 5 жизней. Используйте их, прежде чем добавить новые.",,78
client.interface.modal_window.datetime_mismatch,Модальное окно,Игрок перевел дату на клиенте и она не совпала с датой сервера. Необходимо для верификации старта ивентов.,Дата на Вашем устройстве не совпадает с датой сервера. Проверьте настройки приложения.,,86
client.interface.modal_window.confirm_secret_level_exit,Модальное окно,Игрок пытается выйти из секретного уровня имея еще возможность открыть коробки,"Вы потеряете неоткрытые коробки, если выйдете сейчас. Продолжить открывать коробки?",,83
client.interface.modal_window.sharing_bonus,Модальное окно,Получения приза за количество постингов,Вы рассказали о своих достижениях! Вот Вам за это небольшой подарок.,,68
client.interface.modal_window.connection_required,Модальное окно,Запрос у друзей при отключенном интернете,Для связи с друзьями нужен интернет. Подключите Ваше устройство к сети или попробуйте отправить запрос позже.,,109
client.interface.modal_window.no_more_content,Модальное окно,"Нажатие на заправку вслучае, когда игрок дошёл до последнего уровня в игре и дальше ему некуда двигаться",Скоро появятся новые приключения! Сейчас Вы можете пройти старые уровни еще раз и заработать больше серебра!,,108
client.interface.modal_window.next_chapter_allready_unlocked,Модальное окно,Игра запущена под одним аккаунтом на разных устройствах или браузерах. Игрок находитс я в обоих случаях в окне заправки. В одном он покупает топливо и проходит дальше. Во втором тоже нажимает купить топливо и ему выводится окно с сообщением об уже открытом доступе. ,ЭкоТопливо уже получено. Можем продолжать путь!,,47
client.interface.modal_window.free_gasoline,Модальное окно,Появляется когда у игрока в интерфейсе заправки счётчик для получения бесплантного топлива доходит до нуля,"Не стоит ждать, отправляйтесь в путь! ",,38
client.interface.start_event.title,Появление ивентовой локации,Заголовок окна,Новое приключение!,New Adventure!,18
client.interface.start_event.buttons.next,Появление ивентовой локации,Кнопка для перехода к следуюжему кадру комикса,Далее,Next,5
client.interface.start_event.buttons.play,Появление ивентовой локации,Кнопка для перехода к ивентовой локации,Играть,,6
client.interface.start_event.share,Появление ивентовой локации,Надпись при выбранной опции для рассказа о своих достижениях,Рассказать и получить бонус,Share + Bonus,27
client.interface.start_event.no_share,Появление ивентовой локации,Надпись при не выбранной опции для рассказа о своих достижениях,Не рассказывать и не получить бонус,"No Share, No Bonus",35
client.interface.settings.title,Окно настроек игры (Мобильное),Заголовок окна,Настройки,,9
client.interface.settings.buttons.language,Окно настроек игры (Мобильное),Кнопка выбора языка,Язык: Русский,Language: English,13
client.interface.settings.buttons.faq,Окно настроек игры (Мобильное),Кнопка ведущая в раздел часто задаваемых вопросов,FAQ,FAQ,3
client.interface.settings.buttons.help,Окно настроек игры (Мобильное),Кнопка ведущая в раздел с подсказками по игре,Подсказки,Help,9
client.interface.settings.buttons.support,Окно настроек игры (Мобильное),Кнопка ведущая в раздел Тех. поддержки,Тех поддержка,Support,13
client.interface.settings.buttons.fb_connect,Окно настроек игры (Мобильное),Кнопка подключения к FB,Подключить,Connect,10
client.interface.settings.checkbox_notifications,Окно настроек игры (Мобильное),Чек бокс посвящённый отключению/подключению Уведомлений,Уведомления,Notifications,11
